App starts at Sun Jun 10 16:12:47 2018

Tracking start as 42440 ms
time(ms),x,y,z
63778,-0.209,0.044,1.285
63812,-0.214,0.044,1.281
63845,-0.207,0.043,1.282
63886,-0.211,0.05,1.281
63911,-0.197,0.044,1.277
63947,-0.204,0.042,1.286
63979,-0.208,0.049,1.282
64014,-0.211,0.038,1.289
64049,-0.208,0.037,1.283
64081,-0.21,0.046,1.281
64110,-0.208,0.045,1.28
64148,-0.212,0.043,1.286
64178,-0.207,0.046,1.284
64212,-0.212,0.045,1.283
64251,-0.208,0.044,1.281
64280,-0.21,0.043,1.274
64315,-0.212,0.05,1.283
64347,-0.207,0.042,1.282
64379,-0.215,0.046,1.281
64413,-0.209,0.043,1.282
64449,-0.21,0.037,1.284
64482,-0.213,0.043,1.283
64510,-0.206,0.049,1.283
64546,-0.198,0.041,1.281
64583,-0.208,0.045,1.277
64613,-0.208,0.045,1.287
64652,-0.207,0.047,1.283
64683,-0.21,0.04,1.285
64712,-0.213,0.045,1.283
64750,-0.205,0.042,1.284
64780,-0.213,0.045,1.294
64813,-0.213,0.051,1.282
64851,-0.213,0.043,1.283
64882,-0.207,0.048,1.283
64911,-0.208,0.041,1.278
64946,-0.207,0.048,1.283
64985,-0.206,0.044,1.28
65015,-0.205,0.049,1.293
65050,-0.205,0.043,1.281
65082,-0.203,0.043,1.286
65113,-0.209,0.036,1.285
65150,-0.205,0.041,1.284
65185,-0.211,0.043,1.284
65216,-0.213,0.039,1.284
65249,-0.209,0.045,1.283
65278,-0.208,0.041,1.283
65314,-0.207,0.04,1.273
65347,-0.214,0.047,1.287
65384,-0.21,0.042,1.283
65419,-0.201,0.039,1.282
65451,-0.22,0.042,1.291
65481,-0.206,0.046,1.288
65515,-0.209,0.049,1.283
65547,-0.207,0.048,1.287
65586,-0.212,0.046,1.281
65619,-0.208,0.049,1.283
65652,-0.208,0.047,1.282
65682,-0.2,0.042,1.281
65713,-0.203,0.045,1.286
65750,-0.201,0.044,1.285
65782,-0.213,0.049,1.29
65819,-0.209,0.049,1.283
65852,-0.204,0.044,1.287
65880,-0.206,0.043,1.284
65915,-0.211,0.051,1.281
65951,-0.201,0.047,1.284
65980,-0.207,0.05,1.278
66016,-0.208,0.045,1.279
66052,-0.205,0.037,1.283
66081,-0.21,0.048,1.283
66117,-0.211,0.046,1.277
66149,-0.205,0.056,1.283
66181,-0.202,0.045,1.296
66217,-0.208,0.05,1.288
66254,-0.201,0.041,1.287
66282,-0.207,0.046,1.287
66314,-0.217,0.048,1.283
66349,-0.208,0.045,1.283
66381,-0.208,0.045,1.279
66417,-0.207,0.05,1.285
66450,-0.209,0.05,1.284
66489,-0.208,0.039,1.282
66516,-0.203,0.039,1.282
66547,-0.213,0.049,1.282
66584,-0.207,0.044,1.284
66615,-0.205,0.049,1.284
66650,-0.206,0.052,1.281
66688,-0.209,0.044,1.282
66717,-0.21,0.05,1.279
66749,-0.205,0.05,1.278
66783,-0.207,0.047,1.282
66817,-0.21,0.039,1.283
66851,-0.207,0.043,1.289
66887,-0.211,0.051,1.287
66916,-0.205,0.045,1.283
66948,-0.211,0.043,1.279
66984,-0.209,0.05,1.285
67018,-0.213,0.038,1.28
67051,-0.216,0.05,1.279
67085,-0.213,0.044,1.281
67114,-0.21,0.05,1.286
67148,-0.22,0.047,1.28
67185,-0.213,0.042,1.277
67216,-0.21,0.047,1.28
67249,-0.21,0.044,1.283
67284,-0.211,0.043,1.279
67314,-0.21,0.042,1.277
67346,-0.21,0.04,1.278
67385,-0.192,0.054,1.277
67416,-0.206,0.051,1.268
67450,-0.211,0.046,1.269
67487,-0.208,0.039,1.26
67506,-0.214,0.047,1.261
67540,-0.21,0.046,1.264
67574,-0.207,0.046,1.263
67605,-0.21,0.041,1.258
67633,-0.209,0.043,1.26
67669,-0.208,0.046,1.254
67703,-0.209,0.042,1.26
67735,-0.201,0.045,1.262
67775,-0.203,0.044,1.259
67804,-0.209,0.05,1.263
67834,-0.205,0.045,1.264
67870,-0.202,0.04,1.274
67902,-0.197,0.041,1.26
67938,-0.195,0.045,1.27
67974,-0.198,0.048,1.27
68002,-0.198,0.05,1.263
68033,-0.197,0.055,1.264
68069,-0.198,0.042,1.267
68101,-0.198,0.042,1.266
68138,-0.198,0.044,1.271
68173,-0.196,0.041,1.273
68203,-0.198,0.047,1.268
68232,-0.199,0.048,1.269
68263,-0.205,0.048,1.268
68305,-0.199,0.051,1.272
68336,-0.196,0.048,1.275
68368,-0.191,0.052,1.268
68403,-0.195,0.044,1.268
68434,-0.197,0.047,1.268
68466,-0.194,0.05,1.266
68501,-0.194,0.045,1.266
68537,-0.195,0.053,1.263
68568,-0.197,0.042,1.27
68607,-0.195,0.053,1.271
68634,-0.197,0.045,1.271
68667,-0.195,0.047,1.268
68701,-0.2,0.048,1.273
68733,-0.198,0.045,1.27
68768,-0.195,0.048,1.267
68804,-0.195,0.039,1.273
68833,-0.198,0.05,1.257
68866,-0.202,0.04,1.27
68901,-0.199,0.048,1.272
68939,-0.197,0.042,1.272
68969,-0.193,0.047,1.274
69004,-0.198,0.047,1.273
69034,-0.196,0.053,1.267
69065,-0.191,0.049,1.27
69103,-0.205,0.048,1.27
69135,-0.192,0.051,1.274
69170,-0.194,0.044,1.271
69202,-0.201,0.04,1.271
69234,-0.193,0.044,1.266
69265,-0.197,0.045,1.268
69298,-0.195,0.047,1.268
69337,-0.206,0.044,1.261
69371,-0.2,0.05,1.273
69400,-0.193,0.043,1.267
69434,-0.199,0.044,1.266
69464,-0.196,0.045,1.272
69500,-0.196,0.049,1.266
69540,-0.196,0.053,1.262
69569,-0.195,0.044,1.271
69597,-0.195,0.057,1.273
69632,-0.193,0.047,1.274
69663,-0.201,0.04,1.26
69703,-0.198,0.05,1.268
69734,-0.193,0.042,1.28
69767,-0.199,0.042,1.264
69798,-0.193,0.043,1.267
69834,-0.194,0.054,1.265
69865,-0.197,0.047,1.266
69898,-0.198,0.044,1.27
69938,-0.194,0.046,1.271
69969,-0.2,0.043,1.271
69997,-0.204,0.046,1.275
70033,-0.2,0.051,1.265
70064,-0.2,0.051,1.268
70097,-0.198,0.046,1.268
70135,-0.189,0.052,1.271
70173,-0.194,0.038,1.261
70200,-0.204,0.046,1.267
70233,-0.2,0.047,1.273
70268,-0.196,0.05,1.27
70299,-0.199,0.042,1.272
70338,-0.194,0.045,1.268
70369,-0.199,0.048,1.269
70397,-0.202,0.043,1.272
70427,-0.194,0.047,1.263
70463,-0.197,0.043,1.268
70502,-0.194,0.047,1.273
70535,-0.203,0.044,1.272
70568,-0.198,0.051,1.269
70600,-0.197,0.048,1.27
70630,-0.202,0.058,1.268
70666,-0.197,0.053,1.268
70699,-0.197,0.052,1.269
70734,-0.191,0.049,1.277
70767,-0.195,0.048,1.269
70798,-0.203,0.049,1.272
70829,-0.198,0.048,1.266
70866,-0.197,0.053,1.274
70898,-0.193,0.049,1.271
70932,-0.197,0.048,1.268
70970,-0.202,0.045,1.263
70998,-0.198,0.047,1.264
71028,-0.197,0.037,1.27
71065,-0.191,0.044,1.267
71099,-0.194,0.046,1.272
71134,-0.19,0.046,1.264
71168,-0.198,0.049,1.274
71197,-0.189,0.046,1.27
